County,Tax Base Category,Year,Value
Pierce County,Cars and Gas Trucks,1993,448244.0185
Snohomish County,Population,1993,502619.69800000003
Snohomish County,Employment,1993,184720.8072
Snohomish County,Retail Sales (nominal),1993,5289052107.0
Snohomish County,Cars and Gas Trucks,1993,404864.2746
4-County regional Totals,Personal Income (nominal),1994,76167992460.0
4-County regional Totals,Population,1994,2978720.0
4-County regional Totals,Employment,1994,1428283.333
4-County regional Totals,Retail Sales (nominal),1994,35603596670.0
4-County regional Totals,Motor Fuel (gal.),1994,1562594945.0
4-County regional Totals,Cars and Gas Trucks,1994,2294030.985
4-County regional Totals,Diesel,1994,38.98249436
4-County regional Totals,Total Registrations (000s),1994,2333013.4790000003
King County,Population,1994,1603690.212
King County,Employment,1994,959230.813
King County,Retail Sales (nominal),1994,23156073300.0
King County,Cars and Gas Trucks,1994,1282609.142
Kitsap County,Population,1994,210602.0209
Kitsap County,Employment,1994,69204.4293
Kitsap County,Retail Sales (nominal),1994,1340958134.0
Kitsap County,Cars and Gas Trucks,1994,160239.9998
Pierce County,Population,1994,631363.3303
Pierce County,Employment,1994,214099.1136
Pierce County,Retail Sales (nominal),1994,5812709693.0
Pierce County,Cars and Gas Trucks,1994,446673.8774
Snohomish County,Population,1994,514744.47929999995
Snohomish County,Employment,1994,185748.9774
Snohomish County,Retail Sales (nominal),1994,5293855539.0
Snohomish County,Cars and Gas Trucks,1994,404507.9651
4-County regional Totals,Personal Income (nominal),1995,80391147350.0
4-County regional Totals,Population,1995,3024537.0
4-County regional Totals,Employment,1995,1455621.667
4-County regional Totals,Retail Sales (nominal),1995,36744372600.0
4-County regional Totals,Motor Fuel (gal.),1995,1571132869.0
4-County regional Totals,Cars and Gas Trucks,1995,2317119.5560000003
4-County regional Totals,Diesel,1995,40.9564511
4-County regional Totals,Total Registrations (000s),1995,2358076.007
King County,Population,1995,1620382.785
King County,Employment,1995,977872.9591
King County,Retail Sales (nominal),1995,24472238320.0
King County,Cars and Gas Trucks,1995,1297137.976
Kitsap County,Population,1995,215768.813
Kitsap County,Employment,1995,69518.85033
Kitsap County,Retail Sales (nominal),1995,921362030.8
Kitsap County,Cars and Gas Trucks,1995,162143.74459999998
Pierce County,Population,1995,644986.542
Pierce County,Employment,1995,219105.8452
Pierce County,Retail Sales (nominal),1995,5996088775.0
Pierce County,Cars and Gas Trucks,1995,446148.4007
Snohomish County,Population,1995,526829.6256
Snohomish County,Employment,1995,189124.0121
Snohomish County,Retail Sales (nominal),1995,5354683475.0
Snohomish County,Cars and Gas Trucks,1995,411689.43539999996
4-County regional Totals,Personal Income (nominal),1996,85964866770.0
4-County regional Totals,Population,1996,3058048.0
4-County regional Totals,Employment,1996,1505945.0
4-County regional Totals,Retail Sales (nominal),1996,38078125220.0
4-County regional Totals,Motor Fuel (gal.),1996,1504073225.0
4-County regional Totals,Cars and Gas Trucks,1996,2347003.525
4-County regional Totals,Diesel,1996,40.86768957
4-County regional Totals,Total Registrations (000s),1996,2387871.2139999997
King County,Population,1996,1635307.798
King County,Employment,1996,1018227.003
King County,Retail Sales (nominal),1996,25616493420.0
King County,Cars and Gas Trucks,1996,1313603.0189999999
Kitsap County,Population,1996,220643.44199999998
Kitsap County,Employment,1996,70973.50104
Kitsap County,Retail Sales (nominal),1996,1043697848.9999999
Kitsap County,Cars and Gas Trucks,1996,164048.0648
Pierce County,Population,1996,652440.6209
Pierce County,Employment,1996,223462.4517
Pierce County,Retail Sales (nominal),1996,6035922506.0
Pierce County,Cars and Gas Trucks,1996,451070.4097
Snohomish County,Population,1996,538159.9139
Snohomish County,Employment,1996,193282.04439999998
Snohomish County,Retail Sales (nominal),1996,5382011449.0
Snohomish County,Cars and Gas Trucks,1996,418282.0312
4-County regional Totals,Personal Income (nominal),1997,93095675710.0
4-County regional Totals,Population,1997,3103012.0
4-County regional Totals,Employment,1997,1584361.667
4-County regional Totals,Retail Sales (nominal),1997,41054787250.0
4-County regional Totals,Motor Fuel (gal.),1997,1651210374.0
4-County regional Totals,Cars and Gas Trucks,1997,2397485.064
4-County regional Totals,Diesel,1997,42.89682936
4-County regional Totals,Total Registrations (000s),1997,2440381.893
King County,Population,1997,1651892.7750000001
King County,Employment,1997,1071461.74
King County,Retail Sales (nominal),1997,27738487930.0
King County,Cars and Gas Trucks,1997,1340116.5599999998
Kitsap County,Population,1997,224061.9716
Kitsap County,Employment,1997,72330.69134
Kitsap County,Retail Sales (nominal),1997,998999772.4
Kitsap County,Cars and Gas Trucks,1997,165427.0525
Pierce County,Population,1997,659174.0346
Pierce County,Employment,1997,233136.1239
Pierce County,Retail Sales (nominal),1997,6342179060.0
Pierce County,Cars and Gas Trucks,1997,455855.1174
Snohomish County,Population,1997,549347.2821000001
Snohomish County,Employment,1997,207433.1117
Snohomish County,Retail Sales (nominal),1997,5975120489.0
Snohomish County,Cars and Gas Trucks,1997,436086.3341
4-County regional Totals,Personal Income (nominal),1998,103101918800.0
4-County regional Totals,Population,1998,3159992.0
4-County regional Totals,Employment,1998,1649682.5
4-County regional Totals,Retail Sales (nominal),1998,45374586660.0
4-County regional Totals,Motor Fuel (gal.),1998,1723039520.0
4-County regional Totals,Cars and Gas Trucks,1998,2485868.141
4-County regional Totals,Diesel,1998,46.29473308
4-County regional Totals,Total Registrations (000s),1998,2532162.8740000003
King County,Population,1998,1676514.5829999999
King County,Employment,1998,1118461.634
King County,Retail Sales (nominal),1998,30393081830.0
King County,Cars and Gas Trucks,1998,1385673.9130000002
Kitsap County,Population,1998,226890.7738
Kitsap County,Employment,1998,71966.93403
Kitsap County,Retail Sales (nominal),1998,1448222846.0
Kitsap County,Cars and Gas Trucks,1998,169313.6302
Pierce County,Population,1998,671577.0561
Pierce County,Employment,1998,239110.55579999997
Pierce County,Retail Sales (nominal),1998,6834679671.0
Pierce County,Cars and Gas Trucks,1998,474268.6155
Snohomish County,Population,1998,563673.6875
Snohomish County,Employment,1998,220143.37660000002
Snohomish County,Retail Sales (nominal),1998,6698602316.0
Snohomish County,Cars and Gas Trucks,1998,456611.982
4-County regional Totals,Personal Income (nominal),1999,113617064200.0
4-County regional Totals,Population,1999,3219841.0
4-County regional Totals,Employment,1999,1688132.5
